{'ticks': 25028, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.7, 2958.4, 3036.7, 3010.2], 'rec_time': 0.6704027652740479}
{'ticks': 25039, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.8, 3112.7, 2583.6, 3405.4], 'rec_time': 0.6704027652740479}
{'ticks': 25069, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2711.0, 2927.7, 2510.3, 2676.0], 'rec_time': 0.6704027652740479}
{'ticks': 25068, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.8, 2961.1, 3036.6, 3014.5], 'rec_time': 0.6704027652740479}
{'ticks': 25079, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.8, 3112.5, 2582.4, 3405.5], 'rec_time': 0.6704027652740479}
{'ticks': 25109, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2712.6, 2934.6, 2514.7, 2677.5], 'rec_time': 0.6704027652740479}
{'ticks': 25108, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.0, 2961.0, 3037.0, 3012.0], 'rec_time': 0.6704027652740479}
{'ticks': 25119, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.5, 3112.5, 2584.6, 3405.2], 'rec_time': 0.6704027652740479}
{'ticks': 25149, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2711.4, 2932.3, 2512.1, 2679.1], 'rec_time': 0.6704027652740479}
{'ticks': 25148, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.0, 2961.2, 3036.5, 3011.7], 'rec_time': 0.6704027652740479}
